ID,Titulo,Empresa,Area,Nivel,Cidade,Estado,Modalidade,Tipo_Contrato,Salario_Min,Salario_Max,Experiencia_Min_Anos,Requisitos,Beneficios,Descricao,Data_Publicacao,Vagas_Disponiveis,Link_Inscricao
1,Especialista em Blockchain Júnior,OmniSystems,Blockchain,Júnior,Curitiba,PR,Remoto,Trainee,9514,11434,0,"Azure, Criptografia, Networking, Ethereum, Mentalidade de crescimento, AWS, Feedback construtivo, Vue.js, C#, Trabalho em equipe, DApps, Smart Contracts","Vale-Refeição, Vale-Transporte, Plano de Saúde","Nihil hic cum fugit quas in consequuntur. Perferendis debitis quod in qui ipsa perspiciatis.
Ut aut quas. Vitae iusto maxime. Voluptatibus expedita occaecati in laborum nesciunt voluptate.
Accusantium accusantium labore ab ipsam ea magni. Tempore quisquam at enim tempore praesentium sapiente. Ipsam alias veniam eligendi cupiditate rem corporis.
Est perferendis enim. Voluptatem dignissimos dicta repudiandae aliquam eligendi porro. Sed fugit a reprehenderit. Omnis numquam ab ad.",28/01/2023,5,https://carreiras.omnisystems.com.br/vaga/1
2,Arquiteto de Cloud Júnior,InnoSoftware,Cloud Computing,Júnior,Belo Horizonte,MG,Presencial,CLT,15781,20463,0,"DevOps, Networking, SaaS, Trabalho em equipe, Git, Serverless, PaaS","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Necessitatibus similique magni quia quas cum distinctio. Rem facere libero id quae. Sequi amet aperiam officia ipsam exercitationem animi.
Nulla similique dolor quibusdam. Quas quam eaque magni earum.
Laboriosam quaerat est odit eos quo necessitatibus optio. Praesentium pariatur sunt nisi.
Dolorum explicabo expedita. Dolore iure dolores beatae quas.
Itaque pariatur dignissimos. Voluptate aperiam dolorem vel ratione consequuntur cupiditate.",04/11/2023,3,https://carreiras.innosoftware.com.br/vaga/2
3,Técnico de Suporte Sênior,CrystalNet Inc.,Suporte Técnico,Sênior,Maceió,AL,Remoto,Temporário,16852,26516,10,"Linux, Troubleshooting, Redes, Feedback construtivo, Swift, PHP, Suporte ao Usuário, Trabalho em equipe, Windows, Persuasão, Pensamento crítico","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Magni illum molestias. Aperiam adipisci porro placeat. Illum accusamus ut exercitationem vitae quod animi.
Itaque sit vel quidem dolorum eaque. Soluta delectus placeat tempora.
Reiciendis quos voluptates. Molestias eveniet atque. Quibusdam quaerat dolorum reprehenderit quisquam optio saepe ex.
Laborum ea delectus. Id quis inventore non laborum molestiae perferendis.
Doloremque sed repellendus nihil. Quia eveniet eligendi id repellat cupiditate vero.",28/03/2023,2,https://carreiras.crystalnetinc.com.br/vaga/3
4,Especialista em Business Intelligence Especialista,CloudMind Inc.,Business Intelligence,Especialista,Natal,RN,Híbrido,PJ,19816,23384,2,"Reporting, SQL, Kotlin, Organização, Trabalho em equipe, ETL, Tableau, Persuasão","Vale-Refeição, Vale-Transporte, Plano de Saúde","Nostrum odit nemo aperiam consequuntur minus ipsam. Quod a repellendus tempora dolores sint.
Quidem sequi debitis eos in magnam sequi. Cumque architecto dolor maxime quas. Ea dignissimos quidem deleniti quod.
Facilis asperiores dolor excepturi ea itaque aliquid. Autem assumenda sint nisi corrupti voluptates. Voluptatibus in error illum.
Maxime in eius ea. Quibusdam natus totam dolorum distinctio fugiat. Illum soluta nulla corporis.",01/08/2024,5,https://carreiras.cloudmindinc.com.br/vaga/4
5,Desenvolvedor Web Diretor,BrainWare Tecnologia,Desenvolvimento Web,Diretor,Porto Alegre,RS,Presencial,Estágio,13060,20402,4,"Azure, Python, Angular, Ética de trabalho, Windows Server, JavaScript, Pensamento crítico, React","Vale-Refeição, Vale-Transporte, Plano de Saúde","Dicta eveniet culpa deserunt minima error. Magnam consequuntur fugiat illo officiis sunt. Qui nam culpa at in asperiores.
Nemo iure maxime. Pariatur amet necessitatibus sunt accusamus voluptate voluptas.
Animi quibusdam voluptate debitis modi.
Fugiat recusandae aspernatur itaque excepturi. Blanditiis voluptatibus ipsam impedit. A vitae est expedita rem dicta dignissimos.
Eum recusandae qui aperiam nisi iste.
Quos quos praesentium alias eum ipsam.",04/02/2024,3,https://carreiras.brainwaretecnologia.com.br/vaga/5
6,Administrador de Sistemas Pleno,NexusLink Tecnologia,Administração de Sistemas,Pleno,Curitiba,PR,Híbrido,Temporário,4712,7982,5,"Linux, Tomada de decisão, Gerenciamento de conflitos, C#, Inteligência emocional, PostgreSQL, Active Directory, Shell Script, Django","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Occaecati praesentium cum veritatis. Soluta quaerat asperiores.
Quas corrupti aliquid neque. Iure molestias facere beatae. Quidem numquam itaque dolorum nisi exercitationem.
Commodi beatae ullam cum libero.
Voluptatibus velit ut expedita porro. Ratione architecto alias. Placeat nihil animi. Ab consequuntur enim perspiciatis voluptatum veritatis non.
Non a iste illo. Aut tempore inventore accusamus deleniti blanditiis repellendus.",06/08/2023,3,https://carreiras.nexuslinktecnologia.com.br/vaga/6
7,Analista de Suporte Pleno,SmartCompute Ltda.,Suporte Técnico,Pleno,Manaus,AM,Híbrido,Estágio,17986,22874,3,"Linux, Troubleshooting, Networking, Redes, Gestão de tempo, Suporte ao Usuário, Organização, Windows, MongoDB, React, Liderança, Django","Vale-Refeição, Vale-Transporte, Plano de Saúde","Non similique non sint. Dignissimos deleniti tempore odio. Temporibus animi nulla placeat tempora harum.
Nostrum nobis iste atque sequi. Voluptates a dolores perferendis. Nobis cumque dicta molestiae ex.
Suscipit deleniti adipisci accusamus aut optio. Expedita explicabo voluptate magni beatae architecto.
Soluta rem sed voluptates sint ipsum nisi. Optio beatae accusamus aliquid eaque porro eveniet. Id dicta voluptates consequatur.",13/11/2024,5,https://carreiras.smartcomputeltda.com.br/vaga/7
8,Especialista DevOps Gerente,CyberTech,DevOps,Gerente,Recife,PE,Remoto,Estágio,3114,9686,4,"Java, Power BI, Kotlin, GCP, Docker, Jenkins, CI/CD, Scrum, React, Liderança, Criatividade","Vale-Refeição, Vale-Transporte, Plano de Saúde","Deserunt non expedita culpa necessitatibus repudiandae. Fugiat earum reiciendis voluptatibus. Voluptatem quasi ea.
Provident maxime quis. Occaecati quibusdam quod nulla repellendus nihil nostrum. Necessitatibus aliquam earum a. Quaerat culpa perspiciatis ducimus cum inventore voluptates.
Officia optio itaque voluptatum in. Optio rerum sapiente ad sapiente dolor aliquid. Veritatis maxime sapiente quis ut. Voluptatum harum ipsam distinctio aliquid corporis.",12/06/2024,4,https://carreiras.cybertech.com.br/vaga/8
9,Analista de Testes Júnior,AlgoTech,QA e Testes,Júnior,Fortaleza,CE,Remoto,PJ,5811,11976,0,"JUnit, Node.js, Tomada de decisão, Automação de Testes, Testes de Integração, Organização, Testes Unitários, Selenium, Jenkins, Resiliência","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Mollitia facere laborum ab animi blanditiis sint. Facilis maxime vel.
Et quibusdam modi iure nihil odit adipisci.
Facilis enim consequuntur quod. Vel eum voluptatem saepe quidem officia. Modi aspernatur consequuntur soluta debitis numquam.
Ad fuga voluptate magni ullam. In natus ullam voluptas quas dicta. Recusandae minus aperiam aliquam temporibus eaque.
Vel et fuga unde explicabo. Iure quas autem iste quis cum.",26/09/2023,3,https://carreiras.algotech.com.br/vaga/9
10,Arquiteto de Cloud Especialista,HyperIT,Cloud Computing,Especialista,Recife,PE,Remoto,Temporário,8956,15966,8,"Azure, AWS, Criatividade, PHP, GCP, Comunicação, Ruby, IaaS, Git, PaaS","Vale-Refeição, Vale-Transporte, Plano de Saúde, Seguro de Vida, Bônus Anual","Soluta atque et neque nemo. Vitae ut doloribus eum dicta expedita hic consequuntur.
Veritatis ut tenetur quisquam reiciendis. Cum vitae eligendi odio aut debitis enim fugiat.
Autem voluptate facere culpa. Aperiam veniam pariatur necessitatibus.
Ab iusto quos sapiente officiis explicabo aliquid omnis. Tempore earum officia dolorem ea. Fugit et placeat reprehenderit et.",08/12/2023,5,https://carreiras.hyperit.com.br/vaga/10
